"layer","value","count_126_2041","count_370_2041","count_585_2041","count_126_2071","count_370_2071","count_585_2071"
"GFDL-ESM4",0,22006244,21531505,21530921,22085643,21926102,22087373
"GFDL-ESM4",1,1893131,2367870,2368454,1813732,1973273,1812002
"IPSL-CM6A-LR",0,19842130,20256341,21616676,20573900,22773518,23378142
"IPSL-CM6A-LR",1,4057245,3643034,2282699,3325475,1125857,520203
"MPI-ESM1-2-HR",0,20841054,21079058,20764637,20658996,21510008,23404275
"MPI-ESM1-2-HR",1,3058321,2820317,3134738,3240379,2389367,495100
"MRI-ESM2-0",0,20425063,20430968,21530921,20807279,20570777,21441949
"MRI-ESM2-0",1,3474312,3468407,2368454,3092096,3328055,2442130
"UKESM1-0-LL",0,22241081,22701991,22796970,22579833,23510210,23665328
"UKESM1-0-LL",1,1657435,1174170,1082752,1304412,340433,169980
